student_id,study_hours_per_day,extracurricular_hours_per_day,sleep_hours_per_day,social_hours_per_day,physical_activity_hours_per_day,gpa,stress_level,stress_encoded
40,5.0,0.6,7.7,4.2,6.5,2.61,low,1
41,8.3,0.9,8.6,1.4,4.8,3.48,high,0
42,8.2,3.4,8.3,2.3,1.8,3.07,high,0
43,5.5,1.5,6.3,1.5,9.2,2.81,low,1
44,9.5,2.5,9.0,1.5,1.5,3.49,high,0
45,7.9,2.0,6.0,4.3,3.8,2.97,moderate,2
47,5.1,3.7,7.1,5.8,2.3,2.6,low,1
48,9.3,1.3,5.8,3.3,4.3,3.09,high,0
49,9.7,2.8,7.9,0.3,3.3,3.47,high,0
50,9.4,3.0,8.5,2.2,0.9,3.18,high,0
51,6.8,1.2,9.0,4.9,2.1,3.12,moderate,2
52,9.0,2.6,8.5,3.1,0.8,4.0,high,0
53,9.5,1.4,6.9,0.6,5.6,3.33,high,0
54,7.3,2.2,6.4,3.5,4.6,3.11,moderate,2
55,5.2,0.1,9.1,2.2,7.4,2.79,low,1
56,8.8,0.9,8.1,0.5,5.7,3.1,high,0
57,5.3,2.1,7.7,3.8,5.1,2.39,low,1
58,9.0,1.1,7.2,0.5,6.2,3.39,high,0
60,5.8,1.0,7.7,4.3,5.2,2.8,low,1
61,8.3,1.1,9.8,3.5,1.3,3.67,high,0
63,5.1,0.5,5.2,0.2,13.0,2.85,high,0
64,7.4,0.4,7.5,2.8,5.9,3.26,moderate,2
65,5.9,1.7,7.0,3.7,5.7,2.8,low,1
66,6.9,2.5,7.5,5.1,2.0,3.06,moderate,2
67,8.3,0.7,5.4,3.9,5.7,3.26,high,0
68,9.7,2.3,6.9,3.3,1.8,3.38,high,0
70,5.4,1.3,9.2,0.1,8.0,2.69,low,1
71,9.1,1.1,5.6,4.2,4.0,3.54,high,0
72,8.7,3.2,6.4,1.0,4.7,3.37,high,0
73,8.8,3.2,10.0,0.8,1.2,3.58,high,0
74,6.7,3.7,9.3,1.8,2.5,2.89,moderate,2
75,8.8,3.0,5.5,5.4,1.3,3.58,high,0
76,6.6,3.6,6.9,0.1,6.8,2.99,moderate,2
77,9.5,0.4,6.6,5.7,1.8,3.44,high,0
78,8.2,1.8,6.5,2.0,5.5,3.35,high,0
79,8.4,3.0,9.0,2.8,0.8,3.26,high,0
80,5.3,2.2,7.2,5.3,4.0,2.62,low,1
81,6.8,0.5,5.7,4.6,6.4,2.86,high,0
83,8.5,0.3,5.4,5.9,3.9,2.99,high,0
84,9.1,3.8,9.9,0.9,0.3,3.08,high,0
85,6.9,0.3,8.9,3.4,4.5,3.21,moderate,2
86,5.6,2.0,5.1,2.8,8.5,2.81,high,0
87,5.3,0.5,5.6,3.9,8.7,2.9,high,0
88,9.8,1.5,6.4,5.2,1.1,3.78,high,0
89,6.1,3.9,5.1,5.8,3.1,2.96,high,0
90,5.4,2.2,9.8,3.1,3.5,2.81,low,1
92,5.2,1.1,9.8,5.3,2.6,2.82,low,1
93,7.3,2.5,6.4,1.1,6.7,2.67,moderate,2
95,8.5,2.1,6.5,4.9,2.0,3.1,high,0
96,9.6,3.3,9.7,1.0,0.4,3.54,high,0
97,8.1,1.7,9.7,3.9,0.6,3.45,high,0
98,9.9,0.6,8.0,2.1,3.4,3.39,high,0
99,9.8,3.4,9.2,0.7,0.9,3.15,high,0
100,5.3,3.5,9.1,6.0,0.1,2.68,low,1
101,10.0,2.2,8.8,2.8,0.2,3.41,high,0
102,7.3,0.5,9.8,3.6,2.8,3.22,moderate,2
103,6.1,2.7,8.1,2.1,5.0,2.98,moderate,2
104,7.6,3.1,7.6,4.9,0.8,2.99,moderate,2
105,7.8,2.2,9.4,1.9,2.7,3.3,moderate,2
106,8.5,0.9,5.7,0.1,8.8,3.55,high,0
107,6.8,2.4,7.0,2.6,5.2,2.97,moderate,2
108,7.6,3.1,7.0,3.7,2.6,3.28,moderate,2
109,9.3,3.8,5.7,4.8,0.4,3.05,high,0
110,7.3,3.9,7.5,1.7,3.6,3.08,moderate,2
111,8.2,1.0,5.4,0.8,8.6,3.3,high,0
112,5.9,1.4,9.5,2.8,4.4,2.7,low,1
114,5.9,0.4,5.6,2.8,9.3,2.73,high,0
115,6.0,1.5,7.5,4.1,4.9,2.76,moderate,2
116,9.4,3.7,5.3,1.6,4.0,3.45,high,0
117,9.0,3.0,5.9,1.3,4.8,3.29,high,0
118,8.1,1.5,7.3,4.5,2.6,2.75,high,0
119,5.2,1.0,8.6,5.4,3.8,3.4,low,1
120,5.5,1.8,7.7,1.5,7.5,3.05,low,1
121,6.3,1.5,5.1,1.9,9.2,2.82,high,0
122,5.6,3.6,8.0,4.1,2.7,2.62,low,1
123,8.9,2.0,5.4,3.2,4.5,3.64,high,0
124,7.2,0.5,6.4,2.2,7.7,3.19,moderate,2
125,8.2,2.3,6.8,5.9,0.8,2.95,high,0
126,5.5,0.6,6.2,1.0,10.7,2.94,low,1
128,7.1,3.9,5.6,2.4,5.0,2.9,high,0
129,9.8,3.5,9.1,0.4,1.2,3.57,high,0
130,9.6,2.2,7.9,1.2,3.1,3.24,high,0
132,5.6,2.4,6.4,3.5,6.1,2.85,low,1
133,5.8,1.9,7.7,0.3,8.3,2.7,low,1
134,5.3,4.0,6.6,4.9,3.2,2.72,low,1
135,6.3,2.7,8.8,3.6,2.6,2.45,moderate,2
136,6.7,3.7,9.2,4.2,0.2,2.85,moderate,2
137,5.6,2.9,9.7,1.1,4.7,2.86,low,1
138,7.9,3.4,5.7,4.8,2.2,3.15,high,0
139,6.0,0.7,5.8,4.9,6.6,2.96,high,0
141,7.2,1.5,7.3,1.8,6.2,3.08,moderate,2
142,6.2,3.6,6.9,3.3,4.0,3.27,moderate,2
143,9.5,2.5,5.6,5.6,0.8,3.13,high,0
144,5.7,3.2,8.1,3.2,3.8,3.08,low,1
145,9.5,3.2,5.8,1.7,3.8,3.59,high,0
146,5.2,2.3,8.8,5.3,2.4,2.61,low,1
147,6.7,3.3,5.6,5.1,3.3,2.95,high,0
148,9.0,0.6,6.1,4.3,4.0,3.15,high,0
149,8.6,2.6,8.5,2.3,2.0,3.14,high,0
150,5.9,3.6,7.9,2.4,4.2,2.64,low,1
151,7.3,3.8,5.8,3.5,3.6,3.58,high,0
152,5.1,3.5,9.7,3.2,2.5,2.79,low,1
153,8.5,3.7,8.5,0.5,2.8,3.65,high,0
154,7.1,2.9,9.7,4.0,0.3,3.33,moderate,2
155,7.3,0.5,9.9,5.0,1.3,3.11,moderate,2
156,8.0,1.6,5.3,2.0,7.1,3.42,high,0
157,9.0,0.0,6.7,2.4,5.9,3.51,high,0
158,6.7,1.4,8.7,2.7,4.5,3.02,moderate,2
159,6.1,1.8,5.7,1.1,9.3,2.38,high,0
160,9.6,1.4,7.9,3.2,1.9,3.43,high,0
161,5.1,2.7,5.9,5.8,4.5,2.71,high,0
162,5.4,4.0,7.5,3.6,3.5,2.59,low,1
163,5.3,3.0,6.0,5.4,4.3,2.68,low,1
164,5.2,1.9,7.8,0.4,8.7,2.67,low,1
165,8.9,1.8,7.6,2.5,3.2,3.58,high,0
166,5.8,0.7,9.3,5.7,2.5,2.46,low,1
167,6.9,1.1,8.2,2.5,5.3,3.22,moderate,2
168,5.1,0.9,6.2,4.0,7.8,3.02,low,1
169,5.1,0.4,9.0,1.1,8.4,2.52,low,1
170,5.5,1.0,8.6,5.1,3.8,2.97,low,1
171,9.2,1.6,8.3,1.0,3.9,3.5,high,0
172,5.1,0.3,6.0,0.2,12.4,2.7,low,1
173,5.9,2.3,7.1,5.4,3.3,2.78,low,1
174,6.3,1.5,8.0,1.6,6.6,3.15,moderate,2
175,8.1,1.6,7.8,2.6,3.9,3.26,high,0
176,8.8,0.6,9.3,2.6,2.7,3.3,high,0
177,9.5,3.2,7.1,0.1,4.1,3.49,high,0
178,8.2,1.0,5.7,5.0,4.1,2.89,high,0
179,9.9,2.1,5.9,1.6,4.5,3.52,high,0
180,6.4,2.2,8.3,5.0,2.1,2.76,moderate,2
181,6.0,0.0,5.7,5.4,6.9,2.95,high,0
182,8.0,2.7,5.9,5.5,1.9,3.4,high,0
183,7.1,1.5,7.6,0.3,7.5,3.17,moderate,2
184,5.4,2.4,6.2,2.3,7.7,2.66,low,1
185,6.4,1.4,8.6,1.8,5.8,2.77,moderate,2
186,8.3,3.7,8.7,0.7,2.6,3.77,high,0
187,5.2,1.0,8.0,0.3,9.5,3.29,low,1
188,6.7,3.1,5.5,0.5,8.2,2.99,high,0
189,8.6,2.0,8.4,2.2,2.8,3.43,high,0
190,9.0,2.8,6.4,3.4,2.4,3.24,high,0
191,6.8,0.4,9.6,0.8,6.4,3.01,moderate,2
192,5.9,2.2,9.4,4.4,2.1,3.01,low,1
193,9.0,2.6,8.5,3.3,0.6,3.34,high,0
194,6.1,4.0,9.7,0.2,4.0,2.58,moderate,2
195,8.5,3.7,5.9,3.4,2.5,3.06,high,0
196,9.6,3.9,9.7,0.4,0.4,3.65,high,0
197,9.3,3.4,6.6,3.9,0.8,3.41,high,0
198,6.2,0.5,5.4,4.2,7.7,2.84,high,0
199,6.7,2.9,5.3,1.9,7.2,3.29,high,0
200,6.6,2.5,9.4,3.4,2.1,3.03,moderate,2
202,9.7,3.2,10.0,0.4,0.7,3.67,high,0
203,8.8,1.6,7.4,3.8,2.4,3.23,high,0
204,7.1,3.0,6.2,0.7,7.0,3.36,moderate,2
205,6.8,1.1,6.5,1.4,8.2,3.01,moderate,2
206,6.9,2.7,6.1,5.7,2.6,3.08,moderate,2
208,8.1,0.7,10.0,1.2,4.0,3.35,high,0
209,9.7,2.6,8.0,1.9,1.8,3.33,high,0
210,6.1,0.7,8.9,2.1,6.2,2.81,moderate,2
211,5.3,3.9,9.4,5.0,0.4,3.08,low,1
212,8.5,0.6,9.1,1.3,4.5,3.16,high,0
213,6.1,2.1,8.0,3.5,4.3,2.79,moderate,2
214,9.4,3.8,9.3,1.2,0.3,3.33,high,0
215,8.3,2.2,5.4,2.5,5.6,2.97,high,0
216,8.6,2.0,5.4,1.3,6.7,3.14,high,0
217,8.4,0.3,9.3,3.0,3.0,3.77,high,0
218,9.1,1.4,8.4,2.9,2.2,3.26,high,0
219,6.3,3.5,9.0,3.4,1.8,3.11,moderate,2
220,8.5,2.7,8.1,3.5,1.2,3.38,high,0
221,5.8,3.5,9.4,0.2,5.1,2.84,low,1
223,9.2,2.0,5.0,1.7,6.1,3.42,high,0
224,8.2,1.0,8.2,3.2,3.4,3.24,high,0
225,8.9,0.4,8.8,3.2,2.7,3.32,high,0
226,8.2,3.7,5.5,5.6,1.0,3.29,high,0
227,8.4,0.3,6.5,4.2,4.6,3.29,high,0
228,6.7,2.5,5.2,5.2,4.4,2.86,high,0
229,9.9,3.9,8.7,0.2,1.3,3.8,high,0
230,8.4,1.8,6.4,6.0,1.4,3.25,high,0
231,7.1,1.8,5.8,4.8,4.5,2.86,high,0
232,5.4,2.7,8.3,1.6,6.0,2.95,low,1
233,9.8,0.6,7.2,5.7,0.7,3.84,high,0
234,7.0,1.1,9.9,2.5,3.5,2.84,moderate,2
235,9.5,0.9,6.1,0.2,7.3,3.17,high,0
236,9.3,1.9,9.8,0.6,2.4,3.68,high,0
237,9.3,3.1,8.9,2.3,0.4,3.52,high,0
239,9.0,1.9,5.6,0.8,6.7,3.21,high,0
240,6.0,2.0,5.3,3.5,7.2,3.26,high,0
241,6.3,3.2,6.6,2.7,5.2,2.85,moderate,2
242,8.0,1.2,8.5,5.2,1.1,2.72,moderate,2
243,8.9,0.2,7.4,0.6,6.9,3.33,high,0
244,8.1,2.8,7.8,0.1,5.2,2.98,high,0
245,6.6,2.1,5.4,2.1,7.8,2.79,high,0
246,7.8,2.8,9.0,0.9,3.5,3.11,moderate,2
247,5.8,0.4,8.2,4.2,5.4,2.88,low,1
248,8.5,3.5,8.6,2.7,0.7,3.15,high,0
249,6.7,3.3,5.4,5.4,3.2,3.27,high,0
250,7.3,2.6,7.6,4.4,2.1,3.13,moderate,2
251,5.4,0.2,6.2,1.0,11.2,2.75,low,1
252,9.9,1.3,5.9,4.7,2.2,3.57,high,0
253,8.3,2.0,7.8,4.2,1.7,3.25,high,0
254,6.0,2.7,5.4,0.2,9.7,2.92,high,0
255,6.3,1.9,9.3,4.4,2.1,2.85,moderate,2
256,6.7,1.5,9.9,0.2,5.7,3.32,moderate,2
257,9.3,2.3,7.2,3.8,1.4,3.61,high,0
258,9.5,1.7,6.4,3.6,2.8,3.42,high,0
259,9.6,0.8,8.1,3.5,2.0,3.31,high,0
260,8.6,3.6,5.9,1.4,4.5,3.37,high,0
261,9.9,0.7,9.3,2.0,2.1,3.59,high,0
262,7.2,2.1,6.8,3.6,4.3,3.01,moderate,2
263,5.8,1.6,9.8,1.5,5.3,2.61,low,1
264,8.9,0.5,9.8,2.2,2.6,3.57,high,0
265,6.2,0.3,5.8,3.1,8.6,3.13,high,0
266,7.2,1.0,8.1,4.2,3.5,2.98,moderate,2
267,5.8,0.7,5.2,4.4,7.9,2.81,high,0
269,6.0,0.4,6.3,0.3,11.0,3.05,moderate,2
270,5.2,0.5,7.3,5.6,5.4,2.79,low,1
271,6.6,2.0,5.2,0.9,9.3,3.17,high,0
272,7.3,2.1,7.4,4.0,3.2,3.16,moderate,2
273,5.7,0.1,6.5,4.2,7.5,2.98,low,1
275,9.3,0.7,8.5,4.6,0.9,3.43,high,0
276,7.5,2.5,9.3,2.7,2.0,3.2,moderate,2
278,7.0,2.6,5.5,3.9,5.0,2.82,high,0
279,10.0,0.2,9.9,1.6,2.3,3.56,high,0
280,7.8,3.0,9.4,1.5,2.3,3.25,moderate,2
281,6.6,2.7,9.0,4.3,1.4,2.93,moderate,2
282,9.1,0.5,7.7,0.0,6.7,3.64,high,0
283,6.6,1.5,7.0,4.2,4.7,2.79,moderate,2
284,6.2,1.5,6.1,0.4,9.8,2.5,moderate,2
285,8.0,2.7,8.1,2.4,2.8,3.4,moderate,2
286,7.6,1.9,5.1,2.0,7.4,3.08,high,0
287,6.9,1.6,7.9,3.2,4.4,3.31,moderate,2
288,9.1,2.9,9.8,0.0,2.2,3.48,high,0
289,6.0,0.0,8.2,5.4,4.4,2.92,moderate,2
290,5.3,3.7,6.8,0.6,7.6,2.78,low,1
291,7.4,1.0,6.4,1.8,7.4,3.15,moderate,2
292,6.6,2.4,8.6,1.6,4.8,3.27,moderate,2
293,7.1,0.5,5.9,4.1,6.4,3.09,high,0
294,8.5,0.4,7.8,1.5,5.8,3.01,high,0
295,9.8,1.9,9.0,1.8,1.5,3.5,high,0
296,9.8,2.4,9.1,2.4,0.3,3.38,high,0
298,8.9,1.1,9.1,2.1,2.8,3.2,high,0
299,8.3,0.4,8.1,2.7,4.5,3.01,high,0
300,8.7,3.5,6.1,0.5,5.2,3.37,high,0
301,5.1,2.6,8.0,3.3,5.0,2.65,low,1
302,8.0,2.0,9.9,0.6,3.5,2.93,moderate,2
303,8.5,1.6,7.1,4.3,2.5,3.39,high,0
304,6.4,0.3,5.4,5.4,6.5,3.29,high,0
305,6.0,1.3,6.1,2.1,8.5,2.91,moderate,2
306,5.3,3.2,6.2,3.2,6.1,2.64,low,1
307,9.4,2.6,7.7,1.4,2.9,3.66,high,0
308,10.0,2.6,7.8,2.6,1.0,3.26,high,0
309,7.3,0.2,7.8,5.7,3.0,3.2,moderate,2
310,6.0,2.1,5.5,2.7,7.7,2.72,high,0
311,8.8,1.4,8.3,4.4,1.1,3.1,high,0
312,10.0,3.7,7.7,2.2,0.4,3.44,high,0
313,7.6,2.5,5.4,4.5,4.0,3.17,high,0
314,8.9,2.8,5.2,1.8,5.3,3.3,high,0
315,6.3,1.4,5.4,5.6,5.3,2.58,high,0
316,7.0,1.8,8.0,3.1,4.1,3.15,moderate,2
317,9.6,2.0,10.0,2.0,0.4,3.46,high,0
318,6.9,3.5,9.3,3.5,0.8,3.02,moderate,2
319,9.0,1.2,5.4,2.4,6.0,3.46,high,0
322,5.9,2.0,7.0,0.9,8.2,3.0,low,1
323,6.8,0.3,5.1,0.8,11.0,3.03,high,0
324,9.8,1.7,6.6,3.0,2.9,3.58,high,0
325,7.2,0.4,8.2,1.3,6.9,3.39,moderate,2
326,5.8,0.2,8.9,2.8,6.3,3.11,low,1
328,8.5,0.2,7.5,6.0,1.8,3.21,high,0
329,9.1,2.5,6.5,3.7,2.2,2.85,high,0
330,5.7,3.5,7.2,1.2,6.4,3.04,low,1
331,6.8,1.7,9.1,4.4,2.0,2.9,moderate,2
332,5.1,1.0,8.8,0.8,8.3,2.25,low,1
333,7.7,0.9,5.1,1.4,8.9,3.15,high,0
334,5.5,2.2,7.3,5.1,3.9,2.94,low,1
336,6.9,1.6,7.3,4.7,3.5,3.38,moderate,2
337,9.5,3.8,8.9,0.6,1.2,3.3,high,0
338,6.3,3.4,5.2,5.4,3.7,3.31,high,0
340,5.3,2.1,5.8,4.4,6.4,3.11,high,0
341,7.6,2.7,5.2,0.5,8.0,3.07,high,0
342,5.4,0.0,9.8,4.4,4.4,2.85,low,1
343,6.8,1.2,6.7,4.6,4.7,2.81,moderate,2
344,5.9,0.4,8.3,4.6,4.8,2.99,low,1
345,6.3,0.1,5.4,5.8,6.4,3.14,high,0
347,8.1,3.1,8.2,2.4,2.2,3.09,high,0
348,9.9,2.4,7.9,2.8,1.0,3.67,high,0
349,9.1,2.6,5.6,2.0,4.7,3.16,high,0
350,7.2,2.5,9.7,1.1,3.5,2.69,moderate,2
351,5.6,0.8,9.4,3.9,4.3,3.01,low,1
352,9.3,3.4,9.6,0.4,1.3,3.28,high,0
353,8.8,1.8,9.2,3.1,1.1,3.45,high,0
354,5.9,2.2,9.9,5.6,0.4,3.12,low,1
355,5.2,0.7,5.7,4.4,8.0,2.67,high,0
356,7.5,3.4,8.7,2.4,2.0,3.24,low,1
357,8.0,2.0,6.5,3.4,4.1,3.35,low,1
358,8.2,3.0,5.8,2.8,4.2,3.31,high,0
359,5.0,1.0,8.6,6.0,3.4,2.71,low,1
360,9.0,0.8,7.8,4.4,2.0,3.18,high,0
361,8.1,0.8,6.8,4.7,3.6,3.19,high,0
362,8.8,0.1,8.7,1.2,5.2,3.32,high,0
364,10.0,1.5,7.2,3.8,1.5,3.43,high,0
365,9.4,2.4,7.0,2.1,3.1,3.1,high,0
366,9.0,0.4,7.9,2.9,3.8,3.6,high,0
367,8.2,0.3,7.9,3.4,4.2,3.64,high,0
368,8.4,3.2,6.3,5.0,1.1,3.5,high,0
369,7.5,0.3,5.3,2.0,8.9,3.26,high,0
370,8.9,2.1,7.2,0.9,4.9,3.53,high,0
371,6.6,1.7,5.4,1.3,9.0,3.29,high,0
372,10.0,3.7,8.2,0.9,1.2,3.63,high,0
373,8.2,3.1,5.6,2.5,4.6,3.16,high,0
374,7.9,2.4,5.9,2.2,5.6,3.4,high,0
375,6.7,0.1,5.1,5.0,7.1,3.03,high,0
376,6.5,3.8,6.3,2.6,4.8,2.62,moderate,2
377,9.4,3.4,5.9,4.3,1.0,3.18,high,0
378,5.7,0.3,8.6,3.0,6.4,2.28,low,1
379,7.2,2.9,8.8,0.8,4.3,2.88,moderate,2
380,8.8,2.6,9.8,0.2,2.6,3.38,high,0
381,5.3,1.1,6.3,1.5,9.8,2.75,low,1
382,6.4,3.0,7.2,4.7,2.7,3.03,moderate,2
383,5.3,2.0,5.2,0.4,11.1,2.31,high,0
384,6.7,3.6,5.1,4.0,4.6,3.18,high,0
385,9.8,2.2,9.7,0.1,2.2,3.16,high,0
386,8.7,3.9,6.3,3.3,1.8,3.2,high,0
387,6.0,2.3,7.3,5.8,2.6,2.58,moderate,2
388,5.6,0.6,6.1,1.5,10.2,3.07,low,1
389,9.3,2.2,7.6,0.6,4.3,3.48,high,0
390,5.3,2.8,7.7,0.5,7.7,2.93,low,1
391,7.3,1.9,5.8,5.7,3.3,3.18,high,0
393,5.3,2.1,9.0,2.8,4.8,2.67,low,1
394,5.8,1.3,8.8,3.1,5.0,2.71,low,1
395,6.0,3.5,9.4,4.4,0.7,2.84,moderate,2
396,9.9,3.1,5.1,0.4,5.5,3.17,high,0
397,7.3,3.6,7.7,2.7,2.7,3.15,moderate,2
398,9.1,1.5,8.9,4.3,0.2,3.21,high,0
399,6.0,2.1,6.4,4.8,4.7,3.27,moderate,2
400,9.0,1.6,9.6,2.0,1.8,3.57,high,0
401,5.8,2.8,9.0,1.9,4.5,2.8,low,1
402,5.9,3.6,8.3,0.9,5.3,2.8,low,1
403,7.2,2.5,5.4,5.3,3.6,3.08,high,0
404,9.8,1.7,9.9,1.7,0.9,3.75,high,0
406,8.6,3.6,5.4,4.4,2.0,3.81,high,0
407,5.9,3.4,9.1,3.0,2.6,2.68,low,1
408,7.4,3.3,7.3,2.1,3.9,3.34,moderate,2
409,7.5,3.3,6.7,1.0,5.5,3.29,moderate,2
410,5.5,1.0,5.7,2.1,9.7,2.93,high,0
411,7.3,3.0,8.3,3.4,2.0,3.29,moderate,2
412,7.4,3.9,8.2,0.6,3.9,3.02,moderate,2
413,8.4,1.3,8.4,0.4,5.5,3.32,high,0
414,6.1,3.3,6.4,3.9,4.3,2.86,moderate,2
415,8.5,2.1,6.5,1.3,5.6,3.38,high,0
416,9.4,3.1,8.9,1.7,0.9,3.45,high,0
417,6.3,3.6,8.4,3.2,2.5,2.92,moderate,2
418,7.3,3.5,7.7,2.1,3.4,2.9,moderate,2
419,9.9,0.4,7.1,0.3,6.3,3.55,high,0
420,6.4,3.4,6.5,5.5,2.2,3.0,moderate,2
421,8.8,3.2,5.1,5.8,1.1,3.13,high,0
422,9.1,1.1,9.4,0.5,3.9,3.58,high,0
423,8.5,2.2,5.5,1.5,6.3,3.27,high,0
425,8.7,0.2,9.5,4.8,0.8,3.5,high,0
426,9.5,0.7,5.4,1.4,7.0,3.77,high,0
427,9.0,0.1,7.9,6.0,1.0,3.36,high,0
428,5.3,3.3,8.0,0.7,6.7,3.03,low,1
429,5.5,3.6,8.3,5.0,1.6,2.86,low,1
430,7.6,1.7,6.6,2.6,5.5,3.34,moderate,2
431,8.9,2.4,9.5,1.4,1.8,3.66,high,0
432,8.0,2.8,6.2,3.1,3.9,3.46,moderate,2
433,5.5,1.5,7.4,3.9,5.7,2.85,low,1
434,8.7,2.0,8.2,0.4,4.7,3.42,high,0
435,6.3,1.4,7.4,0.3,8.6,2.86,moderate,2
436,9.9,1.3,7.4,1.1,4.3,3.35,high,0
437,8.1,1.1,6.0,3.1,5.7,3.15,high,0
438,9.0,2.3,7.6,1.5,3.6,3.2,high,0
439,9.7,1.6,5.4,3.7,3.6,3.39,high,0
440,7.5,3.5,7.5,3.9,1.6,2.97,moderate,2
441,10.0,0.5,6.4,2.4,4.7,3.14,high,0
442,9.5,2.9,8.0,1.1,2.5,3.11,high,0
443,9.1,3.8,9.1,0.0,2.0,3.27,high,0
444,6.3,0.2,8.0,4.1,5.4,2.97,moderate,2
445,5.6,1.5,7.3,2.2,7.4,2.8,low,1
446,8.8,0.3,5.4,2.1,7.4,3.12,high,0
449,8.6,0.5,9.5,0.4,5.0,3.06,high,0
450,5.1,1.7,6.5,2.9,7.8,2.79,low,1
451,7.9,0.2,5.6,3.4,6.9,3.44,high,0
452,8.3,3.4,8.5,1.6,2.2,3.07,high,0
453,8.4,1.1,6.5,4.7,3.3,3.54,high,0
454,9.1,3.4,9.6,0.8,1.1,3.31,high,0
455,6.6,2.3,6.9,3.6,4.6,3.2,moderate,2
456,6.9,0.7,7.2,0.9,8.3,3.26,moderate,2
457,9.5,1.4,5.8,0.2,7.1,3.69,high,0
458,6.7,0.3,7.0,1.9,8.1,3.28,moderate,2
459,8.4,2.4,6.8,1.3,5.1,3.25,high,0
460,8.4,0.6,7.4,0.2,7.4,3.32,high,0
461,7.5,3.9,6.9,0.2,5.5,3.11,moderate,2
462,5.8,0.1,8.8,2.8,6.5,2.8,low,1
463,6.4,3.6,5.6,5.7,2.7,3.1,high,0
464,8.0,3.3,9.9,0.8,2.0,3.13,moderate,2
465,9.8,1.6,6.9,1.9,3.8,3.23,high,0
466,7.8,2.2,8.8,4.3,0.9,3.2,moderate,2
467,7.2,1.2,6.3,1.2,8.1,3.05,moderate,2
468,6.4,3.9,7.8,2.0,3.9,2.87,moderate,2
469,7.9,0.6,7.2,3.8,4.5,2.68,moderate,2
470,10.0,3.5,8.1,1.4,1.0,3.44,high,0
471,8.1,0.8,7.0,0.2,7.9,3.74,high,0
473,7.7,3.5,5.7,4.7,2.4,3.21,high,0
474,6.4,3.5,9.7,0.7,3.7,2.89,moderate,2
475,7.3,3.9,7.4,4.7,0.7,2.74,moderate,2
476,6.4,0.8,8.8,2.3,5.7,3.21,moderate,2
477,7.6,2.0,7.9,5.2,1.3,3.13,moderate,2
478,9.1,3.1,7.9,3.7,0.2,3.42,high,0
479,6.0,0.4,9.3,2.6,5.7,3.02,moderate,2
480,8.1,3.7,5.1,2.9,4.2,2.63,high,0
481,8.4,2.9,8.5,0.6,3.6,3.07,high,0
482,9.0,1.1,6.1,5.7,2.1,3.07,high,0
483,5.0,4.0,8.4,5.0,1.6,2.9,low,1
484,8.7,0.6,8.8,4.5,1.4,3.41,high,0
485,8.3,3.1,9.2,2.1,1.3,3.24,high,0
486,5.4,1.6,7.0,0.4,9.6,2.63,low,1
487,6.7,0.4,9.0,5.7,2.2,2.63,moderate,2
488,5.4,2.0,9.0,4.2,3.4,2.85,low,1
489,5.3,0.3,7.0,1.8,9.6,2.64,low,1
490,9.0,3.7,7.0,3.9,0.4,3.16,high,0
